Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c75018c97774f8ec43ec13750b9e673291938fdf44210b99d48d47e449690b8d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
de01a9beaf468cd458f110d17289784145a10fbc2fca281dbffbe1430a9189e8,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
32d396f4adb81bdadeb3ea6dbac4416b2e3235895972a98aee4a18d8ef770f5d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
de403f80338cf3a329c9c2882a08e8640f9a6c5265d0fb5eb489ab826674003f,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9c521276004ac22413dec212731187906374a4ec9b13e4ff7b43ec06c286401b,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
4e7a15d190d066279e347122cc5d1779dd9a93220909fecb51703e070ce7cbaf,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
97f021b25f05688a3e4de26489c85e56bff46d058ca78a54f5ef4649941a8369,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
eb53c3ffd1fcfc7d293f117667f1a573ce10cc946e924ab827c2ca9a8d0514fc,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
84e7ad9553c39080bf7b459ce1ec39669492ed5393ea3b1d515b3e88070cb281,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
511ab1cae02bd8474bdac48b3b2ba422f93bc2456bdca9ce60649693b2933408,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9d10601173b422e2b1f03f1f6d9124a47c56e16ad4f8dfa3963bd160ede12711,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c4bc441c65d87b5d2bcd8482ea0dd017a51c1ba0c1be0ce5a0db685e74e818c4,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
6b6606a2a48d62f2e08be1451ef432c3c8ef6437b20163e3e22beeb3e5632b6d,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9e2d94e0ad84dcbbdd02c08c490aeeb58f5c926cfd879420d97dd2a81b835ed8,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
b39a463eb507988f9e10ef1b5ba638f36654d79117d15ec4d97c827ec56d7308,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c572ac451138229a729ad63adce02666b8fac8a1fab73d96281455900c5b1824,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7925ba799e6da78bd73fc47983a1bcd7ed536e92207db2083b57f13fee66a647,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
de00bec8897a22142ef8ef5b45a648044e800ace458fb3439fdb56d40871cc22,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
25f8555fd8541fcf683039da50ddcad7a243a94bf650c7db04c064a397c08882,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
c87ca2141f3a098d93a0c93e193833edf7f22a985933fe007ffc4977db046275,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
64fe27895a1973707fac7a4d663eb404df24968e12470c81d6c6b2ebb6033a8b,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
489a75d8eb907c02668ed7e3f8b7494b890b20b0ab1cb72d1dfef9e12733c944,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5441704f9782abf91912a6b08d544bd6634c2aec98882e1196b0c2ce7f092f49,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
530b87f3bf9b42b0f6255ea5dbeea31cf835d5408df081f494d4398fc762557a,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
7e3804d902ec19c9963d801a5163e67f8bcc963d6858924268bbfa6fd325b1c7,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
383d43d7e61797dddf6f2ef2e25c3d3e55ebb303ec88ff182c294d45a4188772,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
96b1d1528510cb6df7441bcc0be3326c036ef4617c4ac527e3ff7ec3bfda1bb6,2013-09,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
